service_id,date,exception_type
1001-53752-20230426,20230426,1
1001-53752-20230427,20230427,1
1001-53752-20230424,20230424,1
1001-53758-20230501,20230501,1
1001-53758-20230426,20230426,1
1001-53758-20230429,20230429,1
1001-53758-20230428,20230428,1
1001-53758-20230430,20230430,1
1001-53758-20230427,20230427,1
1001-53758-20230502,20230502,1
1001-48273-20230428,20230428,1
1001-48273-20230429,20230429,1
1001-48273-20230430,20230430,1
1001-48273-20230502,20230502,1
1001-48273-20230501,20230501,1
1001-48273-20230427,20230427,1
1001-48273-20230426,20230426,1
1001-53776-20230426,20230426,1
1001-53776-20230430,20230430,1
1001-53776-20230502,20230502,1
1001-53776-20230427,20230427,1
1001-53776-20230428,20230428,1
1001-53776-20230429,20230429,1
1001-53776-20230501,20230501,1
1001-53751-20230428,20230428,1
1001-53751-20230502,20230502,1
1001-53751-20230427,20230427,1
1001-53751-20230424,20230424,1
1001-53751-20230429,20230429,1
1001-53751-20230426,20230426,1
1001-64891-20230429,20230429,1
1001-64891-20230502,20230502,1
1001-64891-20230428,20230428,1
1001-64891-20230501,20230501,1
1001-64891-20230430,20230430,1
1001-64891-20230426,20230426,1
1001-64891-20230427,20230427,1
1001-47947-20230501,20230501,1
1001-47947-20230430,20230430,1
1001-47947-20230428,20230428,1
1001-47947-20230427,20230427,1
1001-47947-20230429,20230429,1
1001-47947-20230426,20230426,1
1001-47947-20230502,20230502,1
1001-57955-20230424,20230424,1
1001-57955-20230427,20230427,1
1001-57955-20230428,20230428,1
1001-57955-20230502,20230502,1
1001-57955-20230426,20230426,1
1001-53153-20230501,20230508,1
1001-53153-20230501,20230515,1
1001-53153-20230501,20230522,1
1001-53153-20230501,20230529,1
1001-53153-20230501,20230605,1
1001-53153-20230501,20230612,1
1001-53153-20230501,20230619,1
1001-53153-20230501,20230626,1
1001-53153-20230501,20230703,1
1001-53153-20230501,20230710,1
1001-53153-20230501,20230717,1
1001-53153-20230501,20230724,1
1001-53153-20230502,20230509,1
1001-53153-20230502,20230516,1
1001-53153-20230502,20230523,1
1001-53153-20230502,20230530,1
1001-53153-20230502,20230606,1
1001-53153-20230502,20230613,1
1001-53153-20230502,20230620,1
1001-53153-20230502,20230627,1
1001-53153-20230502,20230704,1
1001-53153-20230502,20230711,1
1001-53153-20230502,20230718,1
1001-53153-20230502,20230725,1
1001-53153-20230426,20230503,1
1001-53153-20230426,20230510,1
1001-53153-20230426,20230517,1
1001-53153-20230426,20230524,1
1001-53153-20230426,20230531,1
1001-53153-20230426,20230607,1
1001-53153-20230426,20230614,1
1001-53153-20230426,20230621,1
1001-53153-20230426,20230628,1
1001-53153-20230426,20230705,1
1001-53153-20230426,20230712,1
1001-53153-20230426,20230719,1
1001-53153-20230426,20230726,1
1001-53153-20230427,20230504,1
1001-53153-20230427,20230511,1
1001-53153-20230427,20230518,1
1001-53153-20230427,20230525,1
1001-53153-20230427,20230601,1
1001-53153-20230427,20230608,1
1001-53153-20230427,20230615,1
1001-53153-20230427,20230622,1
1001-53153-20230427,20230629,1
1001-53153-20230427,20230706,1
1001-53153-20230427,20230713,1
1001-53153-20230427,20230720,1
1001-53153-20230427,20230727,1
1001-53153-20230428,20230505,1
1001-53153-20230428,20230512,1
1001-53153-20230428,20230519,1
1001-53153-20230428,20230526,1
1001-53153-20230428,20230602,1
1001-53153-20230428,20230609,1
1001-53153-20230428,20230616,1
1001-53153-20230428,20230623,1
1001-53153-20230428,20230630,1
1001-53153-20230428,20230707,1
1001-53153-20230428,20230714,1
1001-53153-20230428,20230721,1
1001-53153-20230428,20230728,1
1001-53153-20230429,20230506,1
1001-53153-20230429,20230513,1
1001-53153-20230429,20230520,1
1001-53153-20230429,20230527,1
1001-53153-20230429,20230603,1
1001-53153-20230429,20230610,1
1001-53153-20230429,20230617,1
1001-53153-20230429,20230624,1
1001-53153-20230429,20230701,1
1001-53153-20230429,20230708,1
1001-53153-20230429,20230715,1
1001-53153-20230429,20230722,1
1001-53153-20230429,20230729,1
1001-53153-20230430,20230507,1
1001-53153-20230430,20230514,1
1001-53153-20230430,20230521,1
1001-53153-20230430,20230528,1
1001-53153-20230430,20230604,1
1001-53153-20230430,20230611,1
1001-53153-20230430,20230618,1
1001-53153-20230430,20230625,1
1001-53153-20230430,20230702,1
1001-53153-20230430,20230709,1
1001-53153-20230430,20230716,1
1001-53153-20230430,20230723,1
1001-53153-20230430,20230730,1
1001-53754-20230501,20230508,1
1001-53754-20230501,20230515,1
1001-53754-20230501,20230522,1
1001-53754-20230501,20230529,1
1001-53754-20230501,20230605,1
1001-53754-20230501,20230612,1
1001-53754-20230501,20230619,1
1001-53754-20230501,20230626,1
1001-53754-20230501,20230703,1
1001-53754-20230501,20230710,1
1001-53754-20230501,20230717,1
1001-53754-20230501,20230724,1
1001-53754-20230502,20230509,1
1001-53754-20230502,20230516,1
1001-53754-20230502,20230523,1
1001-53754-20230502,20230530,1
1001-53754-20230502,20230606,1
1001-53754-20230502,20230613,1
1001-53754-20230502,20230620,1
1001-53754-20230502,20230627,1
1001-53754-20230502,20230704,1
1001-53754-20230502,20230711,1
1001-53754-20230502,20230718,1
1001-53754-20230502,20230725,1
1001-53754-20230426,20230503,1
1001-53754-20230426,20230510,1
1001-53754-20230426,20230517,1
1001-53754-20230426,20230524,1
1001-53754-20230426,20230531,1
1001-53754-20230426,20230607,1
1001-53754-20230426,20230614,1
1001-53754-20230426,20230621,1
1001-53754-20230426,20230628,1
1001-53754-20230426,20230705,1
1001-53754-20230426,20230712,1
1001-53754-20230426,20230719,1
1001-53754-20230426,20230726,1
1001-53754-20230427,20230504,1
1001-53754-20230427,20230511,1
