stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
032ff66d-6609-11ed-98db-5adc55d213d0,,"Avenida Vinícius de Moraes, 802",,-23.4352,-47.50617,,0,
032f9736-6609-11ed-98db-5adc55d213d0,,"Av. Vinícius de Moraes, 590 - Parque São Bento, Sorocaba - SP, Brasil",,-23.437586,-47.505478,,0,
032f25f5-6609-11ed-98db-5adc55d213d0,,"Avenida Vinícius de Moraes, 252",,-23.44034,-47.505714,,0,
032ea7df-6609-11ed-98db-5adc55d213d0,,"Estr. do Dinorah, 200 - Parque São Bento, Sorocaba - SP, Brasil",,-23.442957,-47.505447,,0,
032e4dfc-6609-11ed-98db-5adc55d213d0,,"Estr. do Dinorah, 102-150 - Lot. Dinora Rosa, Sorocaba - SP, Brasil",,-23.445877,-47.50511,,0,
032d807b-6609-11ed-98db-5adc55d213d0,,Est. do SÃ­tio Dinorah Rosa,,-23.450596,-47.50436,,0,
032c2ee4-6609-11ed-98db-5adc55d213d0,,"Avenida Ipanema Sorocaba - São Paulo, Brasil",,-23.456604,-47.504005,,0,
0315f142-6609-11ed-98db-5adc55d213d0,,"Av. Ipanema, 4219 - Jardim Novo Horizonte, Sorocaba - SP, 18071-801, Brasil",,-23.4611,-47.49995,,0,
03159f19-6609-11ed-98db-5adc55d213d0,,"Avenida Ipanema Sorocaba - São Paulo, 18071, Brasil",,-23.462479,-47.49857,,0,
03145750-6609-11ed-98db-5adc55d213d0,,"Avenida Ipanema Sorocaba - São Paulo, 18071, Brasil",,-23.46738,-47.494087,,0,
0313b212-6609-11ed-98db-5adc55d213d0,,"Av. Ipanema, 3000 - Jardim Planalto, Sorocaba - SP, 18070-631, Brasil",,-23.470459,-47.49101,,0,
03133f6a-6609-11ed-98db-5adc55d213d0,,"Avenida Ipanema Sorocaba - São Paulo, 18066, Brasil",,-23.472507,-47.48928,,0,
0312741c-6609-11ed-98db-5adc55d213d0,,"Avenida Ipanema Sorocaba - São Paulo, 18066, Brasil",,-23.475172,-47.48681,,0,
0311b68b-6609-11ed-98db-5adc55d213d0,,"Av. Ipanema, 1941 - Jardim Planalto, Sorocaba - SP, 18070-631, Brasil",,-23.477448,-47.484863,,0,
03112c0f-6609-11ed-98db-5adc55d213d0,,"Avenida Ipanema Sorocaba - São Paulo, 18066, Brasil",,-23.47859,-47.48372,,0,
03106303-6609-11ed-98db-5adc55d213d0,,"Avenida Ipanema Sorocaba - São Paulo, 18065, Brasil",,-23.481516,-47.478207,,0,
030ffb4d-6609-11ed-98db-5adc55d213d0,,"Avenida Ipanema Sorocaba - São Paulo, 18065, Brasil",,-23.482756,-47.475006,,0,
030fbaa6-6609-11ed-98db-5adc55d213d0,,"Av. Ipanema, 335 - Vila Nova Sorocaba, Sorocaba - SP, 18070-671, Brasil",,-23.483856,-47.472164,,0,
030f2e1d-6609-11ed-98db-5adc55d213d0,,"Rua Comendador Oeterer Sorocaba - São Paulo, 18080, Brasil",,-23.486313,-47.466133,,0,
030edf05-6609-11ed-98db-5adc55d213d0,,"Rua Comendador Oeterer Sorocaba - São Paulo, 18080, Brasil",,-23.48742305979938,-47.46454555092621,,0,
030e2283-6609-11ed-98db-5adc55d213d0,,"Rua Comendador Oeterer Sorocaba - São Paulo, 18080, Brasil",,-23.490417,-47.461918,,0,
030d9c33-6609-11ed-98db-5adc55d213d0,,"Rua Comendador Oeterer Sorocaba - São Paulo, 18080, Brasil",,-23.492115,-47.460228,,0,
030c7e0a-6609-11ed-98db-5adc55d213d0,,"Av. Dr. Afonso Vergueiro, 855A - Centro, Sorocaba - SP, 18035-370, Brasil",,-23.495926,-47.459663,,0,
030d53d8-6609-11ed-98db-5adc55d213d0,,"Rua Comendador Hemelino Matarazzo Sorocaba - São Paulo, 18010, Brasil",,-23.492777,-47.458477,,0,
030e4324-6609-11ed-98db-5adc55d213d0,,"Rua Comendador Hemelino Matarazzo Sorocaba - São Paulo, 18080, Brasil",,-23.48994,-47.461025,,0,
030f2f84-6609-11ed-98db-5adc55d213d0,,"Rua Comendador Hemelino Matarazzo Sorocaba - São Paulo, 18080, Brasil",,-23.486277,-47.465305,,0,
030f91cd-6609-11ed-98db-5adc55d213d0,,"Avenida Ipanema Sorocaba - São Paulo, 18060, Brasil",,-23.484686,-47.468296,,0,
032e6961-6609-11ed-98db-5adc55d213d0,,"Rua Urbano Da Silveira Sorocaba - São Paulo, Brasil",,-23.444986,-47.482872,,0,
032e39dc-6609-11ed-98db-5adc55d213d0,,"Rua Urbano Da Silveira Sorocaba - São Paulo, Brasil",,-23.44618,-47.482002,,0,
032e5717-6609-11ed-98db-5adc55d213d0,,"Rua Vitor Alfarano, 250",,-23.44567,-47.48322,,0,
032e4f11-6609-11ed-98db-5adc55d213d0,,"Rua Vitor Alfarano, 106",,-23.44585,-47.48542,,0,
032e08e3-6609-11ed-98db-5adc55d213d0,,"Rua Francisco Antônio Hidalgo, 57",,-23.44727,-47.48452,,0,
032de490-6609-11ed-98db-5adc55d213d0,,"Rua Wagner José Marins, 81",,-23.448,-47.48402,,0,
032dce63-6609-11ed-98db-5adc55d213d0,,"Rua José Devide Sobrinho, 285",,-23.44865,-47.48315,,0,
032d9273-6609-11ed-98db-5adc55d213d0,,"Rua José Devide Sobrinho, 68",,-23.45017,-47.48133,,0,
032d82a6-6609-11ed-98db-5adc55d213d0,,"Avenida Itavuvu, 4015",,-23.450644,-47.48131,,0,
032d52b5-6609-11ed-98db-5adc55d213d0,,"Avenida Itavuvu Sorocaba - São Paulo, 18074, Brasil",,-23.451683,-47.482483,,0,
032c83a5-6609-11ed-98db-5adc55d213d0,,"Av. Itavuvu, 1068 - Parque das Laranjeiras, Sorocaba - SP, 18078-005, Brasil",,-23.455238,-47.482475,,0,
0324e505-6609-11ed-98db-5adc55d213d0,,"Avenida Itavuvu Sorocaba - São Paulo, 18074, Brasil",,-23.459234,-47.4801,,0,
03156ed0-6609-11ed-98db-5adc55d213d0,,"Avenida Itavuvu Sorocaba - São Paulo, 18076, Brasil",,-23.463554,-47.47935,,0,
0314d1f0-6609-11ed-98db-5adc55d213d0,,"Avenida Itavuvu Sorocaba - São Paulo, 18076, Brasil",,-23.466013,-47.478725,,0,
0313e132-6609-11ed-98db-5adc55d213d0,,"Avenida Itavuvu Sorocaba - São Paulo, 18070, Brasil",,-23.4698,-47.477615,,0,
0312fc52-6609-11ed-98db-5adc55d213d0,,"Avenida Itavuvu Sorocaba - São Paulo, 18070, Brasil",,-23.4734,-47.47645,,0,
5f3b9eec-bb65-42f3-adda-2c8e84b58eb4,,"Avenida Itavuvu Sorocaba - São Paulo, 18070, Brasil",,-23.4770865935704,-47.475100173717664,,0,
0310f704-6609-11ed-98db-5adc55d213d0,,"Avenida Itavuvu Sorocaba - São Paulo, 18070, Brasil",,-23.479616,-47.47423,,0,
031017de-6609-11ed-98db-5adc55d213d0,,"Av. Itavuvu, 189 - Jardim Santa Cecilia, Sorocaba - SP, 18078-005, Brasil",,-23.482527,-47.472523,,0,
032e5b75-6609-11ed-98db-5adc55d213d0,,"R. Jose Luis Pereira Silva, 158",,-23.445566,-47.46796,,0,
